Sample_ID,Contig_Count,Genome_Size_bp,GC_Percent,N50,Largest_Contig_bp,L50,Ns_per_100kb,QC_Status,Inclusion_Status
ERR4692259,293.0,2916440.0,32.83,20935.0,118169.0,41.0,0.0,Passed,Included
ERR4692260,156.0,2756402.0,32.77,37670.0,168203.0,22.0,0.0,Passed,Included
ERR4692262,245.0,2736478.0,32.86,22626.0,82266.0,32.0,0.0,Passed,Included
ERR4692264,65.0,2782271.0,32.73,84147.0,387262.0,8.0,0.0,Passed,Included
ERR4692266,430.0,2700924.0,32.94,12308.0,60143.0,60.0,0.0,Passed,Included
ERR4692267,220.0,2666716.0,32.78,27866.0,99094.0,27.0,0.0,Passed,Included
ERR4692269,44.0,2840309.0,32.69,180738.0,295856.0,6.0,0.0,Passed,Included
SRR31799955,62.0,2792188.0,32.68,100837.0,271812.0,9.0,0.0,Passed,Included
SRR31799973,45.0,2809665.0,32.71,136401.0,279348.0,7.0,0.0,Passed,Included
SRR31799977,46.0,2755023.0,32.72,103180.0,271740.0,8.0,0.0,Passed,Included
SRR31800042,44.0,2756227.0,32.73,103170.0,254018.0,8.0,0.0,Passed,Included
SRR31800733,65.0,2726979.0,32.67,83663.0,347034.0,9.0,0.0,Passed,Included
