sample_id,country,sequence_type,quality_flag,original_st_assignment,clone_cluster_99_99ani,cluster_size,derep_representative,derep_status_alphabetical,organism,arc_c_allele,aro_e_allele,glp_f_allele,gmk_allele,pta_allele,tpi_allele,yqi_l_allele
ERR1765032,Kenya,8,Complete_profile,8,Singleton,1,ERR1765032,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1764915,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Retained,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764921,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764926,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764932,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764943,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764947,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764960,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764986,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1765000,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1765006,Kenya,80,Complete_profile,80,ANI99.99_cluster_03,10,ERR1764915,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(3),glpF(1),gmk(14),pta(11),tpi(51),yqiL(10)
ERR1764969,Kenya,88,Complete_profile,88,Singleton,1,ERR1764969,Retained,saureus,arcC(22),aroE(1),glpF(14),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1765009,Kenya,88,Complete_profile,88,ANI99.99_cluster_25,2,ERR1765009,Retained,saureus,arcC(22),aroE(1),glpF(14),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1765027,Kenya,88,Complete_profile,88,ANI99.99_cluster_11,3,ERR1764937,Excluded_in_sensitivity_only,saureus,arcC(22),aroE(1),glpF(14),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1765031,Kenya,88,Complete_profile,88,ANI99.99_cluster_27,2,ERR1765031,Retained,saureus,arcC(22),aroE(1),glpF(14),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1765040,Kenya,88,Complete_profile,88,ANI99.99_cluster_25,2,ERR1765009,Excluded_in_sensitivity_only,saureus,arcC(22),aroE(1),glpF(14),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1765048,Kenya,88,Complete_profile,88,ANI99.99_cluster_11,3,ERR1764937,Excluded_in_sensitivity_only,saureus,arcC(22),aroE(1),glpF(14),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1791881,Kenya,88,Complete_profile,88,ANI99.99_cluster_27,2,ERR1765031,Excluded_in_sensitivity_only,saureus,arcC(22),aroE(1),glpF(14),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1764950,Kenya,97,Complete_profile,97,Singleton,1,ERR1764950,Retained,saureus,arcC(3),aroE(1),glpF(1),gmk(1),pta(1),tpi(5),yqiL(3)
ERR1764887,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_17,2,ERR1764887,Retained,saureus,arcC(201),aroE(256),glpF(236),gmk(66),pta(194),tpi(219),yqiL(204)
ERR1764898,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_18,2,ERR1764898,Retained,saureus,arcC(201),aroE(256),glpF(236),gmk(66),pta(82),tpi(219),yqiL(962)
ERR1764899,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_18,2,ERR1764898,Excluded_in_sensitivity_only,saureus,arcC(201),aroE(256),glpF(236),gmk(66),pta(82),tpi(219),yqiL(962)
ERR1764936,Kenya,Unknown,No_ST_assigned,-,Singleton,1,ERR1764936,Retained,saureus,arcC(201),aroE(640),glpF(358),gmk(66),pta(221),tpi(82),yqiL(752)
ERR1764937,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_11,3,ERR1764937,Retained,saureus,arcC(22),aroE(1),glpF(58),gmk(23),pta(12),tpi(4),yqiL(31)
ERR1764939,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_12,3,ERR1764939,Retained,saureus,arcC(1),aroE(4),glpF(769),gmk(1),pta(11),tpi(1),yqiL(3)
ERR1764962,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_12,3,ERR1764939,Excluded_in_sensitivity_only,saureus,arcC(1),aroE(4),glpF(769),gmk(1),pta(11),tpi(1),yqiL(3)
ERR1764964,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_08,4,ERR1764964,Retained,saureus,arcC(10),aroE(40),glpF(8),gmk(6),pta(10),tpi(3),yqiL(211)
ERR1764978,Kenya,Unknown,No_ST_assigned,-,Singleton,1,ERR1764978,Retained,saureus,arcC(3),aroE(38),glpF(760),gmk(1),pta(1),tpi(1),yqiL(338)
ERR1764997,Kenya,Unknown,No_ST_assigned,-,Singleton,1,ERR1764997,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1765036,Kenya,Unknown,No_ST_assigned,-,Singleton,1,ERR1765036,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR1765051,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_08,4,ERR1764964,Excluded_in_sensitivity_only,saureus,arcC(10),aroE(40),glpF(8),gmk(6),pta(10),tpi(3),yqiL(211)
ERR1791869,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_17,2,ERR1764887,Excluded_in_sensitivity_only,saureus,arcC(201),aroE(256),glpF(236),gmk(66),pta(194),tpi(219),yqiL(204)
ERR1791872,Kenya,Unknown,No_ST_assigned,-,ANI99.99_cluster_08,4,ERR1764964,Excluded_in_sensitivity_only,saureus,arcC(10),aroE(40),glpF(8),gmk(6),pta(10),tpi(3),yqiL(211)
ERR1791879,Kenya,Unknown,No_ST_assigned,-,Singleton,1,ERR1791879,Retained,saureus,arcC(281),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511839,Tanzania,1153,Complete_profile,1153,Singleton,1,ERR12511839,Retained,saureus,arcC(1),aroE(13),glpF(1),gmk(1),pta(124),tpi(5),yqiL(3)
ERR12511774,Tanzania,121,Complete_profile,121,Singleton,1,ERR12511774,Retained,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511775,Tanzania,121,Complete_profile,121,Singleton,1,ERR12511775,Retained,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511780,Tanzania,121,Complete_profile,121,Singleton,1,ERR12511780,Retained,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511814,Tanzania,121,Complete_profile,121,ANI99.99_cluster_15,2,ERR12511814,Retained,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511816,Tanzania,121,Complete_profile,121,ANI99.99_cluster_15,2,ERR12511814,Excluded_in_sensitivity_only,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511828,Tanzania,121,Complete_profile,121,Singleton,1,ERR12511828,Retained,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511848,Tanzania,121,Complete_profile,121,ANI99.99_cluster_16,2,ERR12511848,Retained,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511850,Tanzania,121,Complete_profile,121,ANI99.99_cluster_16,2,ERR12511848,Excluded_in_sensitivity_only,saureus,arcC(6),aroE(5),glpF(6),gmk(2),pta(7),tpi(14),yqiL(5)
ERR12511688,Tanzania,15,Complete_profile,15,Singleton,1,ERR12511688,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR12511699,Tanzania,15,Complete_profile,15,Singleton,1,ERR12511699,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR12511716,Tanzania,15,Complete_profile,15,Singleton,1,ERR12511716,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR12511721,Tanzania,15,Complete_profile,15,Singleton,1,ERR12511721,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR12511819,Tanzania,15,Complete_profile,15,Singleton,1,ERR12511819,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR12511843,Tanzania,15,Complete_profile,15,Singleton,1,ERR12511843,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR12916300,Tanzania,15,Complete_profile,15,Singleton,1,ERR12916300,Retained,saureus,arcC(13),aroE(13),glpF(1),gmk(1),pta(12),tpi(11),yqiL(13)
ERR12511691,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511692,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511698,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511702,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511703,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511709,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511710,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511714,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511715,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511718,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511719,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511725,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511729,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511730,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511732,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511739,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511749,Tanzania,152,Complete_profile,152,Singleton,1,ERR12511749,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511753,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511762,Tanzania,152,Complete_profile,152,Singleton,1,ERR12511762,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511769,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511773,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511781,Tanzania,152,Complete_profile,152,Singleton,1,ERR12511781,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511783,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511784,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511791,Tanzania,152,Complete_profile,152,Singleton,1,ERR12511791,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511798,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511802,Tanzania,152,Complete_profile,152,Singleton,1,ERR12511802,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511805,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511811,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511833,Tanzania,152,Complete_profile,152,Singleton,1,ERR12511833,Retained,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12916294,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12916296,Tanzania,152,Complete_profile,152,ANI99.99_cluster_01,78,ERR12511691,Excluded_in_sensitivity_only,saureus,arcC(46),aroE(75),glpF(49),gmk(44),pta(13),tpi(68),yqiL(60)
ERR12511827,Tanzania,22,Complete_profile,22,Singleton,1,ERR12511827,Retained,saureus,arcC(7),aroE(6),glpF(1),gmk(5),pta(8),tpi(8),yqiL(6)
ERR12511756,Tanzania,2744,Complete_profile,2744,Singleton,1,ERR12511756,Retained,saureus,arcC(10),aroE(393),glpF(6),gmk(2),pta(260),tpi(58),yqiL(2)
ERR12511817,Tanzania,30,Complete_profile,30,Singleton,1,ERR12511817,Retained,saureus,arcC(2),aroE(2),glpF(2),gmk(2),pta(6),tpi(3),yqiL(2)
ERR12511764,Tanzania,3118,Complete_profile,3118,Singleton,1,ERR12511764,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(355),tpi(4),yqiL(3)
ERR12511832,Tanzania,3118,Complete_profile,3118,Singleton,1,ERR12511832,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(8),pta(355),tpi(4),yqiL(3)
ERR12916293,Tanzania,5,Complete_profile,5,Singleton,1,ERR12916293,Retained,saureus,arcC(1),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(10)
ERR12511824,Tanzania,6,Complete_profile,6,Singleton,1,ERR12511824,Retained,saureus,arcC(12),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(3)
ERR12511829,Tanzania,6,Complete_profile,6,Singleton,1,ERR12511829,Retained,saureus,arcC(12),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(3)
ERR12916297,Tanzania,6,Complete_profile,6,Singleton,1,ERR12916297,Retained,saureus,arcC(12),aroE(4),glpF(1),gmk(4),pta(12),tpi(1),yqiL(3)
ERR12511711,Tanzania,601,Complete_profile,601,Singleton,1,ERR12511711,Retained,saureus,arcC(3),aroE(37),glpF(48),gmk(19),pta(49),tpi(26),yqiL(39)
ERR12511747,Tanzania,789,Complete_profile,789,Singleton,1,ERR12511747,Retained,saureus,arcC(3),aroE(4),glpF(1),gmk(4),pta(4),tpi(6),yqiL(3)
ERR12511794,Tanzania,789,Complete_profile,789,Singleton,1,ERR12511794,Retained,saureus,arcC(3),aroE(4),glpF(1),gmk(4),pta(4),tpi(6),yqiL(3)
ERR12511686,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511689,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511689,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511696,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511700,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511700,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511701,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511704,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511705,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511707,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511707,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511712,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511720,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511723,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511723,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511724,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511726,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511726,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511727,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511727,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511731,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511731,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511733,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511734,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511736,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511738,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511740,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511743,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511745,Tanzania,8,Complete_profile,8,ANI99.99_cluster_14,2,ERR12511745,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511751,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511752,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511755,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511757,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511758,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511758,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511760,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511760,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511761,Tanzania,8,Complete_profile,8,Singleton,1,ERR12511761,Retained,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511766,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511768,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511772,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511779,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511782,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511786,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511787,Tanzania,8,Complete_profile,8,ANI99.99_cluster_14,2,ERR12511745,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511790,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511792,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511793,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511821,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511826,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511830,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
ERR12511836,Tanzania,8,Complete_profile,8,ANI99.99_cluster_02,35,ERR12511686,Excluded_in_sensitivity_only,saureus,arcC(3),aroE(3),glpF(1),gmk(1),pta(4),tpi(4),yqiL(3)
