sample,country,type,subtype,mecA,targets,regions,coverage,hits,comment
ERR1791877,Kenya,-,-,-,IS1272,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791878,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791879,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791880,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR1791881,Kenya,IV,IVa,+,"ccrA2,ccrB2,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",IVa,87.93,55.0,
ERR1791882,Kenya,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692239,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692240,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692241,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692245,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692246,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692257,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692259,Uganda,III,III,+,"ccrA3,ccrB3,ccrC1,IS431,IS431_1,IS431_2,mecA,mecI,mecR1",III,97.92,55.0,
ERR4692260,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692262,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692264,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692266,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692267,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
ERR4692269,Uganda,V,-,+,"ccrC1,IS431,IS431_1,IS431_2,IS1272,mecA,mecR1",,,,
SRR31799955,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
SRR31799973,Uganda,-,-,+,"ccrC1,mecA,mecR1",,,,A type could not be determined based on the target matches or cassette coverage
SRR31799977,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
SRR31800042,Uganda,-,-,-,,,,,A type could not be determined based on the target matches or cassette coverage
SRR31800733,Uganda,-,-,-,"IS431,IS431_1,IS431_2",,,,A type could not be determined based on the target matches or cassette coverage
